仕事,会社名,url,場所,給料形態,金額,契約形態,掲載元,掲載日,結果通知期限,電話番号
店舗スタッフ／中野区,株式会社　さわやか,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E3%81%95%E3%82%8F%E3%82%84%E3%81%8B%E3%81%A7%E3%81%AE%E5%BA%97%E8%88%97%E3%82%B9%E3%82%BF%E3%83%83%E3%83%95%EF%BC%8F%E4%B8%AD%E9%87%8E%E5%8C%BA%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E9%87%8E%E5%8C%BA%E6%96%B0%E4%BA%95%EF%BC%91%E4%B8%81%E7%9B%AE%EF%BC%93%EF%BC%99%EF%BC%8D%EF%BC%94%E3%80%80%E3%83%92%E3%83%AB%E3%82%BA%E4%B8%AD%EF%BC%89-%2013010-17119321/,東京都中野区新井１丁目３９－４　ヒルズ中野１Ｆ,月給,176000円-187000円,正社員,ハローワーク飯田橋,2月10日,,03-5566-5611
複合ビルの施設警備員／新宿区西新宿,西新サービス　株式会社,https://www.hellowork.careers/%E8%A5%BF%E6%96%B0%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9%E3%80%80%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E8%A4%87%E5%90%88%E3%83%93%E3%83%AB%E3%81%AE%E6%96%BD%E8%A8%AD%E8%AD%A6%E5%82%99%E5%93%A1%EF%BC%8F%E6%96%B0%E5%AE%BF%E5%8C%BA%E8%A5%BF%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E8%A5%BF%E6%96%B0%E5%AE%BF%EF%BC%91%EF%BC%8D%EF%BC%92%EF%BC%95%EF%BC%8D%EF%BC%91%0A%E6%96%B0%E5%AE%BF%E3%82%BB%E3%83%B3%EF%BC%89-%2013010-17015621/,東京都新宿区西新宿１－２５－１,時給,1250円,パート労働者,ハローワーク飯田橋,2月10日,,03-6262-7725
営業職,株式会社　ユイ,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E3%83%A6%E3%82%A4%E3%81%A7%E3%81%AE%E5%96%B6%E6%A5%AD%E8%81%B7%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E6%9D%B1%E7%A5%9E%E7%94%B0%EF%BC%91%EF%BC%8D%EF%BC%91%EF%BC%94%EF%BC%8D%EF%BC%98%E3%80%80%E6%9D%B1%E7%A5%9E%E7%94%B0%EF%BC%89-%2013010-17018021/,東京都千代田区東神田１－１４－８　東神田ニチエイビル６階,月給,168000円-180000円,正社員,ハローワーク飯田橋,2月10日,,03-5823-4844
事務所ビルの清掃責任者候補／豊島区南池袋,西新サービス　株式会社,https://www.hellowork.careers/%E8%A5%BF%E6%96%B0%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9%E3%80%80%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E4%BA%8B%E5%8B%99%E6%89%80%E3%83%93%E3%83%AB%E3%81%AE%E6%B8%85%E6%8E%83%E8%B2%AC%E4%BB%BB%E8%80%85%E5%80%99%E8%A3%9C%EF%BC%8F%E8%B1%8A%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%B1%8A%E5%B3%B6%E5%8C%BA%E5%8D%97%E6%B1%A0%E8%A2%8B%EF%BC%92%EF%BC%8D%EF%BC%92%EF%BC%98%E3%83%BC%EF%BC%91%EF%BC%90%0A%E6%B1%A0%E8%A2%8B%E3%83%80%EF%BC%89-%2013010-17013421/,東京都豊島区南池袋２－２８ー１０,月給,216000円,正社員,ハローワーク飯田橋,2月10日,,03-6262-7725
工事管理,株式会社　瑞穂鋼建,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E7%91%9E%E7%A9%82%E9%8B%BC%E5%BB%BA%E3%81%A7%E3%81%AE%E5%B7%A5%E4%BA%8B%E7%AE%A1%E7%90%86%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E7%A5%9E%E7%94%B0%E9%A7%BF%E6%B2%B3%E5%8F%B0%E4%BA%8C%E4%B8%81%E7%9B%AE%EF%BC%91%EF%BC%90%EF%BC%8D%EF%BC%96%E3%80%80%EF%BC%89-%2013010-17014321/,東京都千代田区神田駿河台二丁目１０－６　ＶＯＲＴ御茶ノ水７Ａ,月給,240000円-400000円,正社員,ハローワーク飯田橋,2月10日,,03-5577-6767
営業,株式会社　瑞穂鋼建,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E7%91%9E%E7%A9%82%E9%8B%BC%E5%BB%BA%E3%81%A7%E3%81%AE%E5%96%B6%E6%A5%AD%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E7%A5%9E%E7%94%B0%E9%A7%BF%E6%B2%B3%E5%8F%B0%E4%BA%8C%E4%B8%81%E7%9B%AE%EF%BC%91%EF%BC%90%EF%BC%8D%EF%BC%96%E3%80%80%EF%BC%89-%2013010-17012521/,東京都千代田区神田駿河台二丁目１０－６　ＶＯＲＴ御茶ノ水７Ａ,月給,240000円-500000円,正社員,ハローワーク飯田橋,2月10日,,03-5577-6767
正准看護師（病棟勤務）,医療法人社団茂恵会　半蔵門病院,https://www.hellowork.careers/%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E7%A4%BE%E5%9B%A3%E8%8C%82%E6%81%B5%E4%BC%9A%E3%80%80%E5%8D%8A%E8%94%B5%E9%96%80%E7%97%85%E9%99%A2%E3%81%A7%E3%81%AE%E6%AD%A3%E5%87%86%E7%9C%8B%E8%AD%B7%E5%B8%AB%EF%BC%88%E7%97%85%E6%A3%9F%E5%8B%A4%E5%8B%99%EF%BC%89%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E9%BA%B9%E7%94%BA%EF%BC%91%EF%BC%8D%EF%BC%91%EF%BC%90%EF%BC%89-%2013010-17010821/,東京都千代田区麹町１－１０,月給,250000円-280000円,正社員,ハローワーク飯田橋,2月10日,,03-3239-3355
社内業務基幹システム開発（要件定義・設計,データライブ　株式会社,https://www.hellowork.careers/%E3%83%87%E3%83%BC%E3%82%BF%E3%83%A9%E3%82%A4%E3%83%96%E3%80%80%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E7%A4%BE%E5%86%85%E6%A5%AD%E5%8B%99%E5%9F%BA%E5%B9%B9%E3%82%B7%E3%82%B9%E3%83%86%E3%83%A0%E9%96%8B%E7%99%BA%EF%BC%88%E8%A6%81%E4%BB%B6%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%87%E4%BA%AC%E5%8C%BA%E6%9C%AC%E9%83%B7%EF%BC%92%EF%BC%8D%EF%BC%93%EF%BC%98%EF%BC%8D%EF%BC%94%E3%80%80%E6%9C%AC%E9%83%B7%E5%BC%93%E7%94%BA%E3%83%93%EF%BC%89-%2013010-17118421/,東京都文京区本郷２－３８－４　本郷弓町ビル,月給,300000円-550000円,正社員,ハローワーク飯田橋,2月10日,,03-5684-5419
マンション清掃員（世田谷区）,株式会社　アウラクリーン東京支店,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E3%82%A2%E3%82%A6%E3%83%A9%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%B3%E6%9D%B1%E4%BA%AC%E6%94%AF%E5%BA%97%E3%81%A7%E3%81%AE%E3%83%9E%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%B3%E6%B8%85%E6%8E%83%E5%93%A1%EF%BC%88%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%EF%BC%89%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E9%87%8E%E6%B2%A2%E4%B8%80%E4%B8%81%E7%9B%AE%EF%BC%93%EF%BC%95%E7%95%AA%EF%BC%91%0A%E3%80%8C%E3%82%A2%E3%82%AF%EF%BC%89-%2013010-17117521/,東京都世田谷区野沢一丁目３５番１,時給,1045円,パート労働者,ハローワーク飯田橋,2月10日,,03-6206-9895
土地測量・土地家屋調査業務,有限会社　測量調査技研,https://www.hellowork.careers/%E6%9C%89%E9%99%90%E4%BC%9A%E7%A4%BE%E3%80%80%E6%B8%AC%E9%87%8F%E8%AA%BF%E6%9F%BB%E6%8A%80%E7%A0%94%E3%81%A7%E3%81%AE%E5%9C%9F%E5%9C%B0%E6%B8%AC%E9%87%8F%E3%83%BB%E5%9C%9F%E5%9C%B0%E5%AE%B6%E5%B1%8B%E8%AA%BF%E6%9F%BB%E6%A5%AD%E5%8B%99%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%87%E4%BA%AC%E5%8C%BA%E6%9C%AC%E9%83%B7%EF%BC%96%EF%BC%8D%EF%BC%92%EF%BC%91%EF%BC%8D%EF%BC%94%EF%BC%8D%EF%BC%97%EF%BC%90%EF%BC%95%E3%80%80%E3%81%99%EF%BC%89-%2013010-17115821/,東京都文京区本郷６－２１－４－７０５　すいーとぴあ本郷,月給,224500円-380000円,正社員,ハローワーク飯田橋,2月10日,,03-3816-2301
プラント　計装担当,株式会社　サンセ－テクノ,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E3%82%B5%E3%83%B3%E3%82%BB%EF%BC%8D%E3%83%86%E3%82%AF%E3%83%8E%E3%81%A7%E3%81%AE%E3%83%97%E3%83%A9%E3%83%B3%E3%83%88%E3%80%80%E8%A8%88%E8%A3%85%E6%8B%85%E5%BD%93%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E5%86%85%E7%A5%9E%E7%94%B0%EF%BC%91%EF%BC%8D%EF%BC%91%EF%BC%91%EF%BC%8D%EF%BC%94%EF%BC%89-%2013010-17116221/,東京都千代田区内神田１－１１－４,月給,190184円-226500円,正社員,ハローワーク飯田橋,2月10日,,03-5283-5705
テクニカルサポートエンジニア（障害切り分,データライブ　株式会社,https://www.hellowork.careers/%E3%83%87%E3%83%BC%E3%82%BF%E3%83%A9%E3%82%A4%E3%83%96%E3%80%80%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E3%83%86%E3%82%AF%E3%83%8B%E3%82%AB%E3%83%AB%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88%E3%82%A8%E3%83%B3%E3%82%B8%E3%83%8B%E3%82%A2%EF%BC%88%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%8D%92%E5%B7%9D%E5%8C%BA%E6%9D%B1%E6%97%A5%E6%9A%AE%E9%87%8C%EF%BC%91%EF%BC%8D%EF%BC%92%EF%BC%96%EF%BC%8D%EF%BC%95%E3%80%80%E3%82%BF%E3%82%A4%E3%83%A8%EF%BC%89-%2013010-17114721/,東京都荒川区東日暮里１－２６－５　タイヨーパッキングビル内,月給,300000円-450000円,正社員,ハローワーク飯田橋,2月10日,,03-5684-5419
店舗スタッフ／中野区,株式会社　さわやか,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E3%81%95%E3%82%8F%E3%82%84%E3%81%8B%E3%81%A7%E3%81%AE%E5%BA%97%E8%88%97%E3%82%B9%E3%82%BF%E3%83%83%E3%83%95%EF%BC%8F%E4%B8%AD%E9%87%8E%E5%8C%BA%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E9%87%8E%E5%8C%BA%E5%8D%97%E5%8F%B0%EF%BC%95%E4%B8%81%E7%9B%AE%EF%BC%92%EF%BC%96%EF%BC%8D%EF%BC%96%E3%80%80%E3%83%97%E3%83%81%E3%83%AA%E3%82%B8%EF%BC%89-%2013010-17109221/,東京都中野区南台５丁目２６－６　プチリジェール１Ｆ,月給,176000円-187000円,正社員,ハローワーク飯田橋,2月10日,,03-5566-5611
マンション清掃員（墨田区）,株式会社　アウラクリーン東京支店,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E3%82%A2%E3%82%A6%E3%83%A9%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%B3%E6%9D%B1%E4%BA%AC%E6%94%AF%E5%BA%97%E3%81%A7%E3%81%AE%E3%83%9E%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%B3%E6%B8%85%E6%8E%83%E5%93%A1%EF%BC%88%E5%A2%A8%E7%94%B0%E5%8C%BA%EF%BC%89%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%A2%A8%E7%94%B0%E5%8C%BA%E7%9F%B3%E5%8E%9F%EF%BC%93%EF%BC%8D%EF%BC%91%EF%BC%91%EF%BC%8D%EF%BC%94%0A%E3%80%8C%E3%83%99%E3%83%AB%E3%82%AF%E4%B8%A1%EF%BC%89-%2013010-17111921/,東京都墨田区石原３－１１－４,時給,1045円,パート労働者,ハローワーク飯田橋,2月10日,,03-6206-9895
製缶品（タンク、水槽など）のＣＡＤ製図／,テクノ・ソニック　株式会社,https://www.hellowork.careers/%E3%83%86%E3%82%AF%E3%83%8E%E3%83%BB%E3%82%BD%E3%83%8B%E3%83%83%E3%82%AF%E3%80%80%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E8%A3%BD%E7%BC%B6%E5%93%81%EF%BC%88%E3%82%BF%E3%83%B3%E3%82%AF%E3%80%81%E6%B0%B4%E6%A7%BD%E3%81%AA%E3%81%A9%EF%BC%89%E3%81%AE%EF%BC%A3%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E7%A5%9E%E7%94%B0%E9%A0%88%E7%94%B0%E7%94%BA%EF%BC%92%EF%BC%8D%EF%BC%92%EF%BC%95%E3%80%80%EF%BC%A7%EF%BC%B9%EF%BC%A2%EF%BC%89-%2013010-17106021/,東京都千代田区神田須田町２－２５　ＧＹＢ秋葉原５階,月給,234000円-470000円,正社員,ハローワーク飯田橋,2月10日,,03-3261-1009
フィールド・サービスエンジニア（保守・修,データライブ　株式会社,https://www.hellowork.careers/%E3%83%87%E3%83%BC%E3%82%BF%E3%83%A9%E3%82%A4%E3%83%96%E3%80%80%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%E3%83%89%E3%83%BB%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9%E3%82%A8%E3%83%B3%E3%82%B8%E3%83%8B%E3%82%A2%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%8D%92%E5%B7%9D%E5%8C%BA%E6%9D%B1%E6%97%A5%E6%9A%AE%E9%87%8C%EF%BC%91%EF%BC%8D%EF%BC%92%EF%BC%96%EF%BC%8D%EF%BC%95%E3%80%80%E3%82%BF%E3%82%A4%E3%83%A8%EF%BC%89-%2013010-17110621/,東京都荒川区東日暮里１－２６－５　タイヨーパッキングビル内,月給,300000円-400000円,正社員,ハローワーク飯田橋,2月10日,,03-5684-5419
空調設備の施工管理（補助）／Ａ,テクノ・ソニック　株式会社,https://www.hellowork.careers/%E3%83%86%E3%82%AF%E3%83%8E%E3%83%BB%E3%82%BD%E3%83%8B%E3%83%83%E3%82%AF%E3%80%80%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E7%A9%BA%E8%AA%BF%E8%A8%AD%E5%82%99%E3%81%AE%E6%96%BD%E5%B7%A5%E7%AE%A1%E7%90%86%EF%BC%88%E8%A3%9C%E5%8A%A9%EF%BC%89%EF%BC%8F%EF%BC%A1%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E7%A5%9E%E7%94%B0%E9%A0%88%E7%94%B0%E7%94%BA%EF%BC%92%EF%BC%8D%EF%BC%92%EF%BC%95%E3%80%80%EF%BC%A7%EF%BC%B9%EF%BC%A2%EF%BC%89-%2013010-17104921/,東京都千代田区神田須田町２－２５　ＧＹＢ秋葉原５階,月給,243000円-470000円,正社員,ハローワーク飯田橋,2月10日,,03-3261-1009
正准看護師（外来勤務）,医療法人社団茂恵会　半蔵門病院,https://www.hellowork.careers/%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E7%A4%BE%E5%9B%A3%E8%8C%82%E6%81%B5%E4%BC%9A%E3%80%80%E5%8D%8A%E8%94%B5%E9%96%80%E7%97%85%E9%99%A2%E3%81%A7%E3%81%AE%E6%AD%A3%E5%87%86%E7%9C%8B%E8%AD%B7%E5%B8%AB%EF%BC%88%E5%A4%96%E6%9D%A5%E5%8B%A4%E5%8B%99%EF%BC%89%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E9%BA%B9%E7%94%BA%EF%BC%91%EF%BC%8D%EF%BC%91%EF%BC%90%EF%BC%89-%2013010-17009121/,東京都千代田区麹町１－１０,月給,270000円-330000円,正社員,ハローワーク飯田橋,2月10日,,03-3239-3355
正准看護師（病棟勤務　日勤のみ）,医療法人社団茂恵会　半蔵門病院,https://www.hellowork.careers/%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E7%A4%BE%E5%9B%A3%E8%8C%82%E6%81%B5%E4%BC%9A%E3%80%80%E5%8D%8A%E8%94%B5%E9%96%80%E7%97%85%E9%99%A2%E3%81%A7%E3%81%AE%E6%AD%A3%E5%87%86%E7%9C%8B%E8%AD%B7%E5%B8%AB%EF%BC%88%E7%97%85%E6%A3%9F%E5%8B%A4%E5%8B%99%E3%80%80%E6%97%A5%E5%8B%A4%E3%81%AE%E3%81%BF%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E9%BA%B9%E7%94%BA%EF%BC%91%EF%BC%8D%EF%BC%91%EF%BC%90%EF%BC%89-%2013010-17007621/,東京都千代田区麹町１－１０,月給,300000円-330000円,正社員,ハローワーク飯田橋,2月10日,,03-3239-3355
（Ｃ♯）精密機器関連ログ解析用ソフト開発,フィット産業株式会社,https://www.hellowork.careers/%E3%83%95%E3%82%A3%E3%83%83%E3%83%88%E7%94%A3%E6%A5%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%EF%BC%88%EF%BC%A3%E2%99%AF%EF%BC%89%E7%B2%BE%E5%AF%86%E6%A9%9F%E5%99%A8%E9%96%A2%E9%80%A3%E3%83%AD%E3%82%B0%E8%A7%A3%E6%9E%90%E7%94%A8%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%9D%B1%E5%8C%BA%E4%BA%80%E6%88%B8%EF%BC%92%E4%B8%81%E7%9B%AE%EF%BC%92%EF%BC%93%EF%BC%8D%EF%BC%95%0A%E3%83%AC%E3%82%B8%E3%83%87%E3%83%B3%EF%BC%89-%2013010-17006321/,東京都江東区亀戸２丁目２３－５,月給,250000円-500000円,正社員,ハローワーク飯田橋,2月10日,,03-3262-4890
正准看護師【外来勤務】,医療法人社団茂恵会　半蔵門病院,https://www.hellowork.careers/%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E7%A4%BE%E5%9B%A3%E8%8C%82%E6%81%B5%E4%BC%9A%E3%80%80%E5%8D%8A%E8%94%B5%E9%96%80%E7%97%85%E9%99%A2%E3%81%A7%E3%81%AE%E6%AD%A3%E5%87%86%E7%9C%8B%E8%AD%B7%E5%B8%AB%E3%80%90%E5%A4%96%E6%9D%A5%E5%8B%A4%E5%8B%99%E3%80%91%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E9%BA%B9%E7%94%BA%EF%BC%91%EF%BC%8D%EF%BC%91%EF%BC%90%EF%BC%89-%2013010-17005421/,東京都千代田区麹町１－１０,時給,1700円-2000円,パート労働者,ハローワーク飯田橋,2月10日,,03-3239-3355
正准看護師【病棟勤務】,医療法人社団茂恵会　半蔵門病院,https://www.hellowork.careers/%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E7%A4%BE%E5%9B%A3%E8%8C%82%E6%81%B5%E4%BC%9A%E3%80%80%E5%8D%8A%E8%94%B5%E9%96%80%E7%97%85%E9%99%A2%E3%81%A7%E3%81%AE%E6%AD%A3%E5%87%86%E7%9C%8B%E8%AD%B7%E5%B8%AB%E3%80%90%E7%97%85%E6%A3%9F%E5%8B%A4%E5%8B%99%E3%80%91%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E9%BA%B9%E7%94%BA%EF%BC%91%EF%BC%8D%EF%BC%91%EF%BC%90%EF%BC%89-%2013010-17003221/,東京都千代田区麹町１－１０,時給,1800円-2000円,パート労働者,ハローワーク飯田橋,2月10日,,03-3239-3355
（．ＮＥＴ　Ｃ♯）総合スーパー業務システ,フィット産業株式会社,https://www.hellowork.careers/%E3%83%95%E3%82%A3%E3%83%83%E3%83%88%E7%94%A3%E6%A5%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%EF%BC%88%EF%BC%8E%EF%BC%AE%EF%BC%A5%EF%BC%B4%E3%80%80%EF%BC%A3%E2%99%AF%EF%BC%89%E7%B7%8F%E5%90%88%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%9D%B1%E5%8C%BA%E4%BA%80%E6%88%B8%EF%BC%92%E4%B8%81%E7%9B%AE%EF%BC%92%EF%BC%93%EF%BC%8D%EF%BC%95%0A%E3%83%AC%E3%82%B8%E3%83%87%E3%83%B3%EF%BC%89-%2013010-17002821/,東京都江東区亀戸２丁目２３－５,月給,250000円-500000円,正社員,ハローワーク飯田橋,2月10日,,03-3262-4890
販売,事業所名非公開,https://www.hellowork.careers/%E4%BA%8B%E6%A5%AD%E6%89%80%E5%90%8D%E9%9D%9E%E5%85%AC%E9%96%8B%E3%81%A7%E3%81%AE%E8%B2%A9%E5%A3%B2%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%EF%BC%89-%2013010-17004521/,東京都中央区,月給,210000円-330000円,正社員,ハローワーク飯田橋,2月10日,,
